payment_token_id,name,rate
0x0000000000000000000000000000000000000000,ETH,1
0x6b175474e89094c44da98b954eedeac495271d0f,DAI,4000
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,4000
